Injection,Layer,TensorIndex,Bit
0,conv2d,"(2, 1, 0, 14)",15
1,conv2d,"(2, 0, 0, 28)",5
2,conv2d,"(0, 0, 0, 54)",13
3,conv2d_1,"(2, 0, 3, 29)",26
4,conv2d_1,"(2, 1, 57, 28)",0
5,conv2d_1,"(1, 1, 54, 20)",9
6,conv2d_1,"(0, 0, 43, 27)",24
7,conv2d_1,"(1, 2, 45, 12)",16
8,conv2d_1,"(2, 0, 58, 5)",24
9,conv2d_1,"(2, 2, 37, 10)",23
10,conv2d_1,"(0, 2, 8, 24)",14
11,conv2d_1,"(0, 0, 10, 37)",24
12,conv2d_1,"(2, 1, 58, 35)",10
13,conv2d_1,"(0, 2, 45, 47)",17
14,conv2d_1,"(2, 2, 21, 9)",15
15,conv2d_1,"(1, 1, 59, 20)",14
16,conv2d_1,"(0, 0, 7, 41)",20
17,conv2d_1,"(0, 0, 34, 51)",20
18,conv2d_1,"(1, 2, 63, 27)",29
19,conv2d_1,"(0, 0, 33, 18)",16
20,conv2d_1,"(1, 0, 51, 54)",8
21,conv2d_1,"(0, 0, 11, 63)",9
22,conv2d_1,"(2, 0, 54, 20)",24
23,conv2d_1,"(2, 1, 59, 48)",0
24,conv2d_1,"(2, 1, 34, 14)",7
25,conv2d_1,"(0, 1, 55, 37)",0
26,conv2d_1,"(2, 0, 22, 33)",19
27,conv2d_1,"(1, 0, 19, 25)",0
28,conv2d_1,"(0, 0, 62, 41)",23
29,conv2d_1,"(0, 0, 30, 39)",5
30,conv2d_1,"(0, 2, 62, 10)",8
31,conv2d_1,"(2, 0, 60, 16)",16
32,conv2d_1,"(2, 2, 27, 54)",12
33,conv2d_1,"(2, 2, 51, 39)",23
34,conv2d_1,"(0, 0, 57, 56)",14
35,conv2d_1,"(0, 2, 43, 8)",14
36,conv2d_1,"(0, 2, 0, 28)",3
37,conv2d_1,"(0, 1, 8, 29)",4
38,conv2d_1,"(2, 1, 35, 30)",13
39,conv2d_1,"(0, 1, 60, 16)",26
40,conv2d_1,"(0, 2, 12, 24)",27
41,conv2d_1,"(1, 1, 54, 45)",3
42,conv2d_1,"(1, 2, 7, 12)",21
43,conv2d_1,"(0, 0, 31, 13)",28
44,conv2d_1,"(0, 1, 54, 17)",29
45,conv2d_1,"(1, 2, 9, 31)",6
46,conv2d_1,"(0, 0, 1, 6)",10
47,conv2d_1,"(1, 0, 62, 52)",25
48,conv2d_1,"(1, 0, 21, 7)",24
49,conv2d_1,"(1, 1, 58, 33)",31
50,conv2d_1,"(1, 0, 24, 19)",3
51,conv2d_1,"(0, 0, 40, 7)",30
52,conv2d_1,"(2, 0, 7, 20)",11
53,conv2d_1,"(2, 0, 8, 8)",25
54,conv2d_1,"(2, 2, 31, 15)",2
55,conv2d_1,"(2, 2, 53, 10)",20
56,conv2d_1,"(2, 2, 26, 33)",20
57,conv2d_1,"(1, 0, 33, 30)",19
58,conv2d_2,"(0, 0, 40, 58)",29
59,conv2d_2,"(2, 0, 9, 12)",16
60,conv2d_2,"(0, 0, 44, 16)",23
61,conv2d_2,"(1, 2, 20, 36)",19
62,conv2d_2,"(2, 0, 38, 1)",8
63,conv2d_2,"(0, 2, 14, 33)",9
64,conv2d_2,"(2, 0, 36, 34)",21
65,conv2d_2,"(2, 1, 33, 26)",16
66,conv2d_2,"(2, 1, 11, 6)",17
67,conv2d_2,"(1, 0, 0, 5)",16
68,conv2d_2,"(2, 2, 56, 20)",27
69,conv2d_2,"(0, 2, 14, 1)",9
70,conv2d_2,"(2, 2, 47, 4)",9
71,conv2d_2,"(0, 1, 16, 55)",23
72,conv2d_2,"(0, 2, 45, 5)",15
73,conv2d_2,"(2, 1, 45, 13)",9
74,conv2d_2,"(0, 1, 20, 30)",1
75,conv2d_2,"(1, 2, 42, 22)",15
76,conv2d_2,"(2, 0, 20, 34)",24
77,conv2d_2,"(0, 0, 60, 4)",29
78,conv2d_2,"(0, 0, 39, 44)",1
79,conv2d_2,"(1, 1, 51, 24)",4
80,conv2d_2,"(2, 2, 44, 35)",25
81,conv2d_2,"(0, 1, 3, 42)",11
82,conv2d_2,"(0, 2, 4, 33)",27
83,conv2d_2,"(1, 2, 40, 44)",7
84,conv2d_2,"(1, 0, 24, 49)",27
85,conv2d_2,"(1, 1, 25, 0)",4
86,conv2d_2,"(2, 0, 40, 42)",19
87,conv2d_2,"(1, 1, 52, 39)",18
88,conv2d_2,"(1, 2, 24, 16)",24
89,conv2d_2,"(1, 2, 38, 22)",0
90,conv2d_2,"(0, 1, 36, 38)",20
91,conv2d_2,"(1, 2, 56, 59)",13
92,conv2d_2,"(2, 0, 21, 60)",18
93,conv2d_2,"(0, 2, 11, 42)",19
94,conv2d_2,"(0, 0, 25, 28)",2
95,conv2d_2,"(2, 0, 60, 31)",29
96,conv2d_2,"(2, 2, 24, 53)",24
97,conv2d_2,"(0, 0, 51, 63)",0
98,conv2d_2,"(0, 0, 54, 13)",29
99,conv2d_2,"(0, 1, 31, 6)",8
100,conv2d_2,"(1, 2, 40, 59)",27
101,conv2d_2,"(2, 1, 20, 57)",28
102,conv2d_2,"(2, 1, 31, 33)",31
103,conv2d_2,"(1, 0, 35, 30)",18
104,conv2d_2,"(1, 1, 34, 30)",5
105,conv2d_2,"(0, 1, 19, 17)",9
106,conv2d_2,"(1, 1, 8, 27)",21
